#time, NSats[]
0.100097,0
0.200097,0
0.300097,0
0.400097,0
0.500097,0
0.600097,0
0.700097,0
0.800097,0
0.900097,0
1.0001,0
1.1001,0
1.2001,0
1.3001,0
1.4001,0
1.5001,0
1.6001,0
1.7001,0
1.8001,0
1.9001,0
2.0001,0
2.1001,0
2.2001,0
2.3001,0
2.4001,0
2.5001,0
2.6001,0
2.7001,0
2.8001,0
2.9001,0
3.0001,0
3.1001,0
3.2001,0
3.3001,0
3.4001,0
3.5001,0
3.6001,0
3.7001,0
3.8001,0
3.9001,0
4.0001,0
4.1001,0
4.2001,0
4.3001,0
4.4001,0
4.5001,0
4.6001,0
4.7001,0
4.8001,0
4.9001,0
5.0001,0
5.1001,0
5.2001,0
5.3001,0
5.4001,0
5.5001,0
5.6001,0
5.7001,0
5.8001,0
5.9001,0
6.0001,0
6.1001,0
6.2001,0
6.3001,0
6.4001,0
6.5001,0
6.6001,0
6.7001,0
6.8001,0
6.9001,0
7.0001,0
7.1001,0
7.2001,0
7.3001,0
7.4001,0
7.5001,0
7.6001,0
7.7001,0
7.8001,0
7.9001,0
8.0001,0
8.1001,0
8.2001,0
8.3001,0
8.4001,0
8.5001,0
8.6001,0
8.7001,0
8.8001,0
8.9001,0
9.0001,0
9.1001,0
9.2001,0
9.3001,0
9.4001,0
9.5001,0
9.6001,0
9.7001,0
9.8001,0
9.9001,0
10.0001,0
10.1001,0
10.2001,0
10.3001,0
10.4001,0
10.5001,0
10.6001,0
10.7001,0
10.8001,0
10.9001,0
11.0001,0
11.1001,0
11.2001,0
11.3001,0
11.4001,0
11.5001,0
11.6001,0
11.7001,0
11.8001,0
11.9001,0
12.0001,0
12.1001,0
12.2001,0
12.3001,0
12.4001,0
12.5001,0
12.6001,0
12.7001,0
12.8001,0
12.9001,0
13.0001,0
13.1001,0
13.2001,0
13.3001,0
13.4001,0
13.5001,0
13.6001,0
13.7001,0
13.8001,0
13.9001,0
14.0001,0
14.1001,0
14.2001,0
14.3001,0
14.4001,0
14.5001,0
14.6001,0
14.7001,0
14.8001,0
14.9001,0
15.0001,0
15.1001,0
15.2001,0
15.3001,0
15.4001,0
15.5001,0
15.6001,0
15.7001,0
15.8001,0
15.9001,0
16.0001,0
16.1001,0
16.2001,0
16.3001,0
